# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 5.630978941942034766e+01
1.137500000000000178e+00 8.285189142834987308e+01
1.237500000000000044e+00 1.207340909510055695e+02
1.337500000000000133e+00 1.669771483678686934e+02
1.437500000000000222e+00 2.277161897138938116e+02
1.537500000000000311e+00 3.068873746674046288e+02
1.637500000000000400e+00 4.025860387029842400e+02
1.737500000000000044e+00 5.036302537826807111e+02
1.837500000000000133e+00 6.197776430052504111e+02
1.937500000000000222e+00 7.535875298401333566e+02
2.037500000000000533e+00 9.608061968813934755e+02
2.137500000000000178e+00 1.320919023531513858e+03
2.237499999999999822e+00 1.809002100783191509e+03
2.337500000000000355e+00 2.391641735833694838e+03
2.437500000000000000e+00 3.035026746749676477e+03
2.537500000000000533e+00 3.734240577968849266e+03
2.637500000000000178e+00 4.533991882238468861e+03
2.737499999999999822e+00 5.456025864085640933e+03
2.837500000000000355e+00 6.702446977032359428e+03
2.937500000000000000e+00 8.276530806861179371e+03
3.037500000000000533e+00 1.028925871750529404e+04
3.137500000000000178e+00 1.288251187517764993e+04
3.237499999999999822e+00 1.604333184888211872e+04
3.337500000000000355e+00 2.018657942843893034e+04
3.437500000000000000e+00 2.521383276140539238e+04
3.537499999999999645e+00 3.144214652957078943e+04
3.637500000000000178e+00 3.941649276637735602e+04
3.737499999999999822e+00 4.925323644428273838e+04
3.837500000000000355e+00 6.215257985536252818e+04
3.937500000000000000e+00 7.838684321979159722e+04
4.037500000000000533e+00 9.906743420042314392e+04
4.137500000000000178e+00 1.256907868299787224e+05
4.237499999999999822e+00 1.585665001532925526e+05
4.337500000000000355e+00 2.005650122775453783e+05
4.437500000000000000e+00 2.529023361759232648e+05
4.537500000000000533e+00 3.195062690908646327e+05
4.637500000000000178e+00 4.057690937366146827e+05
4.737499999999999822e+00 5.140160748702289420e+05
4.837500000000000355e+00 6.544621612829749938e+05
4.937500000000000000e+00 8.332754189214102225e+05
5.037500000000000533e+00 1.064899627013433492e+06
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.306883900874875253e+06
5.195026315789474047e+00 1.598846326130060945e+06
5.273789473684210805e+00 1.950108206432303181e+06
5.352552631578947562e+00 2.371548650563768577e+06
5.431315789473684319e+00 2.875835674533648416e+06
5.510078947368421076e+00 3.477687384673051536e+06
5.588842105263157833e+00 4.194166626828445587e+06
5.667605263157894591e+00 5.045012809812201187e+06
5.746368421052631348e+00 6.053014959798376076e+06
5.825131578947368993e+00 7.244430437950653955e+06
5.903894736842104862e+00 8.649454157911874354e+06
5.982657894736842508e+00 1.030274357462204807e+07
6.061421052631578377e+00 1.224400518309460580e+07
6.140184210526316022e+00 1.451864876718392409e+07
6.218947368421052779e+00 1.717851617601909488e+07
6.297710526315789537e+00 2.028269198174684867e+07
6.376473684210526294e+00 2.389840398869651556e+07
6.455236842105263051e+00 2.810202222332581505e+07
6.533999999999999808e+00 3.298016573868373409e+07
