#Energy 	 NLD
6.33762	2.14201e+07
6.35453	2.21697e+07
6.37143	2.2919e+07
6.38834	2.37542e+07
6.40524	2.46256e+07
6.42215	2.54968e+07
6.43906	2.63677e+07
6.45596	2.72444e+07
6.47287	2.82554e+07
6.48978	2.9266e+07
6.50668	3.02764e+07
6.52359	3.12864e+07
6.54049	3.20403e+07
6.5574	3.23839e+07
6.57431	3.27273e+07
6.59121	3.30706e+07
6.60812	3.34138e+07
6.62502	3.37569e+07
6.64193	3.40998e+07
6.65884	3.44426e+07
6.67574	3.47852e+07
6.69265	3.51278e+07
6.70955	3.54702e+07
6.72646	3.58124e+07
6.74337	3.61545e+07
6.76027	3.64965e+07
6.77718	3.68384e+07
6.79409	3.71801e+07
6.81099	3.75217e+07
6.8279	3.78632e+07
6.8448	3.82045e+07
6.86171	3.85457e+07
6.87862	3.88867e+07
6.89552	3.92277e+07
6.91243	3.95684e+07
6.92933	3.99091e+07
6.94624	4.02496e+07
6.96315	4.05899e+07
6.98005	4.09302e+07
6.99696	4.12703e+07
7.01387	4.16102e+07
7.03077	4.195e+07
7.04768	4.22897e+07
7.06458	4.26292e+07
7.08149	4.29686e+07
7.0984	4.33078e+07
7.1153	4.36469e+07
7.13221	4.39859e+07
7.14911	4.43247e+07
7.16602	4.46634e+07
7.18293	4.50019e+07
7.19983	4.53403e+07
7.21674	4.56785e+07
7.23364	4.60166e+07
7.25055	4.63545e+07
7.26746	4.66923e+07
7.28436	4.703e+07
7.30127	4.73675e+07
7.31818	4.77048e+07
7.33508	4.80421e+07
7.35199	4.83791e+07
7.36889	4.8716e+07
7.3858	4.90528e+07
7.40271	4.93894e+07
7.41961	4.97259e+07
7.43652	5.00622e+07
7.45342	5.03983e+07
7.47033	5.07344e+07
7.48724	5.10702e+07
7.50414	5.14059e+07
7.52105	5.17415e+07
7.53796	5.20769e+07
7.55486	5.24121e+07
7.57177	5.27472e+07
7.58867	5.30822e+07
7.60558	5.3417e+07
7.62249	5.37516e+07
7.63939	5.40861e+07
7.6563	5.44204e+07
7.6732	5.47546e+07
7.69011	5.50886e+07
7.70702	5.54224e+07
7.72392	5.57561e+07
7.74083	5.60897e+07
7.75773	5.64231e+07
7.77464	5.67563e+07
7.79155	5.70894e+07
