# #E, E1, M1
4.644295302013422777e+00 7.660178828777715275e-08 1.723033705997898631e-08
4.751677852348993092e+00 8.224329089800275495e-08 1.531706866358963811e-08
4.859060402684563407e+00 8.828455135364453910e-08 1.367678122799787539e-08
4.966442953020134610e+00 9.475230455666709294e-08 1.226526461427986140e-08
5.073825503355704925e+00 1.016752388672515893e-07 1.104546482952620194e-08
5.181208053691275239e+00 1.090841536550116353e-07 9.986626192536677211e-09
5.288590604026845554e+00 1.170121293351735914e-07 9.063335906543285872e-09
5.395973154362415869e+00 1.254947106679494100e-07 8.254621397244463072e-09
5.503355704697986184e+00 1.345701040753332839e-07 7.543158619214586105e-09
5.610738255033556499e+00 1.442793896790194881e-07 6.914604419829851770e-09
5.718120805369127702e+00 1.546667486776894124e-07 6.357045778856407400e-09
5.825503355704698016e+00 1.657797065510337750e-07 5.860551059509506877e-09
5.932885906040268331e+00 1.776693923884160836e-07 5.416806780059154746e-09
6.040268456375839534e+00 1.903908143756953105e-07 5.018824466203873887e-09
6.147651006711409849e+00 2.040031511141482467e-07 4.660704186735566140e-09
6.255033557046980164e+00 2.185700579657226178e-07 4.337443606887794176e-09
6.362416107382550479e+00 2.341599869884052633e-07 4.044783465711551716e-09
6.469798657718120793e+00 2.508465182070605074e-07 3.779082170032342443e-09
6.577181208053691108e+00 2.687086989135669259e-07 3.537213677478438631e-09
6.684563758389261423e+00 2.878313863513298400e-07 3.316484039462815999e-09
6.791946308724831738e+00 3.083055874488752823e-07 3.114562932345672531e-09
6.899328859060402053e+00 3.302287871495014808e-07 2.929427263786304359e-09
7.006711409395973256e+00 3.537052542510707280e-07 2.759314540157067140e-09
7.114093959731543571e+00 3.788463104219582929e-07 2.602684152692153221e-09
7.221476510067113885e+00 4.057705440846234366e-07 2.458185111689632309e-09
7.328859060402685088e+00 4.346039460374196469e-07 2.324629051138000523e-09
7.436241610738255403e+00 4.654799378949780226e-07 2.200967557644874922e-09
7.543624161073825718e+00 4.985392575505985943e-07 2.086273060874309700e-09
7.651006711409396033e+00 5.339296578040714267e-07 1.979722668287219938e-09
7.758389261744966348e+00 5.718053650018058258e-07 1.880584442955477102e-09
7.865771812080536662e+00 6.123262340255343658e-07 1.788205715912198039e-09
7.973154362416106977e+00 6.556565243856620152e-07 1.702003098836653054e-09
8.080536912751679068e+00 7.019632098550546282e-07 1.621453922695152657e-09
8.187919463087247607e+00 7.514137216159056360e-07 1.546088876272289847e-09
8.295302013422819698e+00 8.041730132556589004e-07 1.475485657681940010e-09
8.402684563758388236e+00 8.603998266042169298e-07 1.409263483791705914e-09
8.510067114093960328e+00 9.202420324572835474e-07 1.347078328482652837e-09
8.617449664429528866e+00 9.838309225582971489e-07 1.288618781948029974e-09
8.724832214765100957e+00 1.051274342578960457e-06 1.233602440720666915e-09
8.832214765100671272e+00 1.122648584928720285e-06 1.181772752533756572e-09
8.939597315436241587e+00 1.197989010524730721e-06 1.132896252041095593e-09
9.046979865771811902e+00 1.277279446096204535e-06 1.086760133313419015e-09
9.154362416107382217e+00 1.360440513829210771e-06 1.043170113258254404e-09
9.261744966442952531e+00 1.447317197329466080e-06 1.001948546981031879e-09
9.369127516778522846e+00 1.537666132848744670e-06 9.629327618566807045e-10
9.476510067114094937e+00 1.631143332686107907e-06 9.259735819096007094e-10
9.583892617449663476e+00 1.727293285453045798e-06 8.909340181651194925e-10
9.691275167785235567e+00 1.825540611316602248e-06 8.576881040672772400e-10
9.798657718120804105e+00 1.925185642684490729e-06 8.261198579624930928e-10
9.906040268456376197e+00 2.025405403484006408e-06 7.961223571134884271e-10
1.001342281879194651e+01 2.125261417131211669e-06 7.675969098048139171e-10
1.012080536912751683e+01 2.223715530080456478e-06 7.404523138894876274e-10
1.022818791946308714e+01 2.319654455779044640e-06 7.146041916549208595e-10
1.033557046979865746e+01 2.411923017028205879e-06 6.899743921959765083e-10
1.044295302013422777e+01 2.499365136094009544e-06 6.664904536076980730e-10
1.055033557046979809e+01 2.580870591919661656e-06 6.440851182781457704e-10
1.065771812080537018e+01 2.655424585472778374e-06 6.226958953965488810e-10
1.076510067114093872e+01 2.722156410224814421e-06 6.022646655134152327e-10
1.087248322147651081e+01 2.780383188018635244e-06 5.827373226139898418e-10
1.097986577181207934e+01 2.829644817879628709e-06 5.640634497085787672e-10
1.108724832214765144e+01 2.869727017483736163e-06 5.461960244145006868e-10
1.119463087248322175e+01 2.900670521460132150e-06 5.290911514149621634e-10
1.130201342281879207e+01 2.922765945521508253e-06 5.127078190382983013e-10
1.140939597315436238e+01 2.936535282714702308e-06 4.970076775141619184e-10
1.151677852348993270e+01 2.942702223892285176e-06 4.819548367374005489e-10
1.162416107382550301e+01 2.942154305421160151e-06 4.675156816108621156e-10
1.173154362416107332e+01 2.935900196461524531e-06 4.536587032496684361e-10
1.183892617449664542e+01 2.925025262792437332e-06 4.403543445154380148e-10
1.194630872483221395e+01 2.910647985019400896e-06 4.275748585128358009e-10
1.205369127516778427e+01 2.893879015666692165e-06 4.152941788254994611e-10
1.216107382550335636e+01 2.875783793266784920e-06 4.034878003963052726e-10
1.226845637583892668e+01 2.857348836644389909e-06 3.921326700701823175e-10
1.237583892617449699e+01 2.839451233020614774e-06 3.812070859180828103e-10
1.248322147651006730e+01 2.822830491533329279e-06 3.706906045498897684e-10
1.259060402684563762e+01 2.808061916439802987e-06 3.605639557032878611e-10
1.269798657718120793e+01 2.795531000270423283e-06 3.508089634662085096e-10
1.280536912751677825e+01 2.785409064886189902e-06 3.414084735533657394e-10
1.291275167785234856e+01 2.777631468894859501e-06 3.323462861135501164e-10
1.302013422818791888e+01 2.771881062040753935e-06 3.236070935945413158e-10
1.312751677852348919e+01 2.767580989694667759e-06 3.151764232373988202e-10
1.323489932885905951e+01 2.763902061168953935e-06 3.070405838121256548e-10
1.334228187919462982e+01 2.759790165201473597e-06 2.991866162427830814e-10
1.344966442953020191e+01 2.754018056879105508e-06 2.916022478025369033e-10
1.355704697986577223e+01 2.745262830907727360e-06 2.842758495882452025e-10
1.366442953020134254e+01 2.732205600628462295e-06 2.771963970104076810e-10
1.377181208053691286e+01 2.713644147539762323e-06 2.703534330579239557e-10
1.387919463087248317e+01 2.688604194401541627e-06 2.637370341183960597e-10
1.398657718120805349e+01 2.656432430642027891e-06 2.573377781539513499e-10
1.409395973154362380e+01 2.616855944009292109e-06 2.511467150499322960e-10
1.420134228187919412e+01 2.569998431897142447e-06 2.451553389695271711e-10
1.430872483221476443e+01 2.516351997565152659e-06 2.393555625616476209e-10
1.441610738255033475e+01 2.456711892778721925e-06 2.337396928822629980e-10
1.452348993288590506e+01 2.392087679953379018e-06 2.283004089011070936e-10
1.463087248322147715e+01 2.323606485496427158e-06 2.230307404763036427e-10
1.473825503355704747e+01 2.252422377275225557e-06 2.179240486891152174e-10
1.484563758389261778e+01 2.179641707442323199e-06 2.129740074398104149e-10
1.495302013422818810e+01 2.106269236514362724e-06 2.081745862136461097e-10
1.506040268456375841e+01 2.033175426916319266e-06 2.035200339332507564e-10
1.516778523489932873e+01 1.961082242208878234e-06 1.990048638203464015e-10
1.527516778523489904e+01 1.890563247523580429e-06 1.946238391958162646e-10
1.538255033557046936e+01 1.822053495634398309e-06 1.903719601526681032e-10
1.548993288590603967e+01 1.755865161069953627e-06 1.862444510415147848e-10
1.559731543624160999e+01 1.692205737318758858e-06 1.822367487128287791e-10
1.570469798657718030e+01 1.631196538305611059e-06 1.783444914644755262e-10
1.581208053691275062e+01 1.572890069869771636e-06 1.745635086469207398e-10
1.591946308724832271e+01 1.517285485636740113e-06 1.708898108820758053e-10
1.602684563758389302e+01 1.464341805002473579e-06 1.673195808550183035e-10
1.613422818791946156e+01 1.413988873162147635e-06 1.638491646408327345e-10
1.624161073825503365e+01 1.366136220574814163e-06 1.604750635315796569e-10
1.634899328859060574e+01 1.320680068139925422e-06 1.571939263309425103e-10
1.645637583892617428e+01 1.277508755040952501e-06 1.540025420864382465e-10
1.656375838926174282e+01 1.236506861679514548e-06 1.508978332312332737e-10
1.667114093959731491e+01 1.197558276509631379e-06 1.478768491095889662e-10
1.677852348993288700e+01 1.160548423471794542e-06 1.449367598617914673e-10
1.688590604026845554e+01 1.125365832610743994e-06 1.420748506461052982e-10
1.699328859060402408e+01 1.091903203997983908e-06 1.392885161768530899e-10
1.710067114093959617e+01 1.060058086079777821e-06 1.365752555591591686e-10
1.720805369127516826e+01 1.029733264703467458e-06 1.339326674022282484e-10
1.731543624161074035e+01 1.000836938351896202e-06 1.313584451942568527e-10
1.742281879194630889e+01 9.732827382063915651e-07 1.288503729232199857e-10
1.753020134228187743e+01 9.469896380814654007e-07 1.264063209288231458e-10
1.763758389261744952e+01 9.218817885105866112e-07 1.240242419718926174e-10
1.774496644295302161e+01 8.978883008172540508e-07 1.217021675083793311e-10
1.785234899328859015e+01 8.749430004377059712e-07 1.194382041559908319e-10
1.795973154362415869e+01 8.529841636930248534e-07 1.172305303422488486e-10
1.806711409395973078e+01 8.319542483244638974e-07 1.150773931234910271e-10
1.817449664429530287e+01 8.117996251500266009e-07 1.129771051650082211e-10
1.828187919463087141e+01 7.924703159663900864e-07 1.109280418731342940e-10
1.838926174496644350e+01 7.739197411444579200e-07 1.089286386706862425e-10
1.849664429530201204e+01 7.561044791200924331e-07 1.069773884076940785e-10
1.860402684563758413e+01 7.389840390631143878e-07 1.050728388998615113e-10
1.871140939597315622e+01 7.225206473391332565e-07 1.032135905876699777e-10
1.881879194630872476e+01 7.066790478995050068e-07 1.013982943094726859e-10
1.892617449664429330e+01 6.914263163980844368e-07 9.962564918233483912e-11
1.903355704697986539e+01 6.767316876036376897e-07 9.789440058475535668e-11
1.914093959731543748e+01 6.625663955263625610e-07 9.620333823575976355e-11
1.924832214765100602e+01 6.489035255851853335e-07 9.455129436518479198e-11
1.935570469798657456e+01 6.357178780934405019e-07 9.293714197028470850e-11
1.946308724832214665e+01 6.229858423222912719e-07 9.135979315407865979e-11
1.957046979865771874e+01 6.106852804047675072e-07 8.981819754112699645e-11
1.967785234899329083e+01 5.987954203618649665e-07 8.831134076667847827e-11
1.978523489932885937e+01 5.872967575607365125e-07 8.683824303536544255e-11
1.989261744966442791e+01 5.761709639498963136e-07 8.539795774584589500e-11
2.000000000000000000e+01 5.654008044548483005e-07 8.398957017799857540e-11
