# #E, E1, M1
0.000000000000000000e+00 8.197454484042557549e-09 0.000000000000000000e+00
4.000000000000000083e-02 8.234858376668543789e-09 4.371905909426789200e-10
8.000000000000000167e-02 8.272445498457401753e-09 8.755810747587334609e-10
1.199999999999999956e-01 8.310399153004892707e-09 1.316378916857852601e-09
1.600000000000000033e-01 8.348902792820328347e-09 1.760806802656806991e-09
2.000000000000000111e-01 8.388140093902823972e-09 2.210110435686377418e-09
2.399999999999999911e-01 8.428295030461055925e-09 2.665566563562246595e-09
2.800000000000000266e-01 8.469551949824524572e-09 3.128491311314095582e-09
3.200000000000000067e-01 8.512095647594559048e-09 3.600248904541317838e-09
3.599999999999999867e-01 8.556111443083472010e-09 4.082260868493332569e-09
4.000000000000000222e-01 8.601785255090494372e-09 4.576015793375861542e-09
4.400000000000000022e-01 8.649303678063541812e-09 5.083079760838974919e-09
4.799999999999999822e-01 8.698854058696065047e-09 5.605107531526347841e-09
5.200000000000000178e-01 8.750624573008710670e-09 6.143854598493506671e-09
5.600000000000000533e-01 8.804804303965962693e-09 6.701190215857051679e-09
5.999999999999999778e-01 8.861583319678332023e-09 7.279111515679432020e-09
6.400000000000000133e-01 8.921152752241306252e-09 7.879758828072122045e-09
6.800000000000000488e-01 8.983704877262705633e-09 8.505432318766992231e-09
7.199999999999999734e-01 9.049433194130842154e-09 9.158610053517631971e-09
7.600000000000000089e-01 9.118532507076434514e-09 9.841967587671322275e-09
8.000000000000000444e-01 9.191199007082035808e-09 1.055839915940453236e-08
8.399999999999999689e-01 9.267630354693423918e-09 1.131104053279278709e-08
8.800000000000000044e-01 9.348025763788240046e-09 1.210329348717639615e-08
9.200000000000000400e-01 9.432586086358074050e-09 1.293885187560648016e-08
9.599999999999999645e-01 9.521513898361005863e-09 1.382172906874513536e-08
1.000000000000000000e+00 9.615013586702699195e-09 1.475628644984826140e-08
1.040000000000000036e+00 9.713291437405068524e-09 1.574726241613295637e-08
1.080000000000000071e+00 9.816555725022686819e-09 1.679980105205892715e-08
1.120000000000000107e+00 9.925016803368185086e-09 1.791947924522125312e-08
1.159999999999999920e+00 1.003888719760911240e-08 1.911233048307120330e-08
1.199999999999999956e+00 1.015838169779999731e-08 2.038486285780103152e-08
1.239999999999999991e+00 1.028371745391457739e-08 2.174406786767055846e-08
1.280000000000000027e+00 1.041511407244463445e-08 2.319741537700616495e-08
1.320000000000000062e+00 1.055279371463325254e-08 2.475282851796017886e-08
1.360000000000000098e+00 1.069698119641181828e-08 2.641863031650754665e-08
1.400000000000000133e+00 1.084790409011163460e-08 2.820345134310257293e-08
1.439999999999999947e+00 1.100579282802271480e-08 3.011608469329872069e-08
1.479999999999999982e+00 1.117088080787393354e-08 3.216527112654186597e-08
1.520000000000000018e+00 1.134340450031054937e-08 3.435939338171367684e-08
1.560000000000000053e+00 1.152360355844694310e-08 3.670605489842609092e-08
1.600000000000000089e+00 1.171172092957431711e-08 3.921151508051452646e-08
1.640000000000000124e+00 1.190800296910515397e-08 4.187995200304745221e-08
1.679999999999999938e+00 1.211269955683819957e-08 4.471252591348160552e-08
1.719999999999999973e+00 1.232606421563007525e-08 4.770622566644920162e-08
1.760000000000000009e+00 1.254835423256163197e-08 5.085249888050654875e-08
