NEnergy= 15.2501   Entries 11
8    0.0034546   0           
9    0           0           
10   0           0           
NEnergy= 13.2501   Entries 11
0    0.00978836  0.0173349   
1    0.067831    0.0775674   
2    0.0917981   0.0892149   
3    0.0916607   0.0926971   
4    0.0890964   0.0755127   
5    0.0564325   0.0774889   
6    0.0387308   0.0716058   
7    0.00585845  0.0440048   
8    0.00337704  0           
9    0           0           
10   0           0           
NEnergy= 13.1501   Entries 11
0    0.0098877   0.0172595   
1    0.068058    0.0771787   
2    0.091735    0.0885335   
3    0.0919456   0.0923593   
4    0.0897567   0.0761398   
5    0.0575306   0.0774616   
6    0.0394073   0.070461    
7    0.00572901  0.0432573   
8    0.00329936  0           
9    0           0           
10   0           0           
NEnergy= 13.0501   Entries 11
0    0.00998193  0.0171791   
1    0.068271    0.0767708   
2    0.0916951   0.0878491   
3    0.0923142   0.0920445   
4    0.0905062   0.0768113   
5    0.0586829   0.077397    
6    0.0401195   0.0691493   
7    0.00559898  0.0424074   
8    0.00322151  0           
9    0           0           
10   0           0           
NEnergy= 12.9501   Entries 11
0    0.0100703   0.0170933   
1    0.0684665   0.076341    
2    0.0916775   0.0871607   
3    0.0927698   0.0917506   
4    0.0913467   0.0775215   
5    0.0598878   0.0772946   
6    0.0408665   0.0676801   
7    0.00546826  0.0414613   
8    0.00314342  0           
9    0           0           
10   0           0           
NEnergy= 12.8501   Entries 11
0    0.0101519   0.0170012   
1    0.0686411   0.0758868   
2    0.0916817   0.0864669   
3    0.0933156   0.0914745   
4    0.0922801   0.0782637   
5    0.0611431   0.0771537   
6    0.0416467   0.0660645   
7    0.00533677  0.0404264   
8    0.00306505  0           
9    0           0           
10   0           0           
NEnergy= 12.7501   Entries 11
0    0.0102259   0.0169023   
1    0.0687917   0.0754056   
2    0.0917072   0.0857661   
3    0.0939552   0.0912128   
4    0.0933082   0.0790296   
5    0.0624463   0.0769736   
6    0.0424585   0.0643153   
7    0.00520443  0.0393108   
8    0.00298637  0           
9    0           0           
10   0           0           
NEnergy= 12.6501   Entries 11
0    0.0102916   0.0167958   
1    0.0689149   0.0748947   
2    0.0917538   0.0850568   
3    0.0946925   0.0909614   
4    0.0944329   0.0798098   
5    0.0637944   0.0767531   
6    0.0432999   0.0624463   
7    0.0050712   0.0381235   
8    0.00290733  0           
9    0           0           
10   0           0           
NEnergy= 12.5501   Entries 11
0    0.0103483   0.0166812   
1    0.069008    0.0743515   
2    0.091822    0.0843374   
3    0.0955318   0.0907158   
4    0.0956559   0.0805934   
5    0.065184    0.0764909   
6    0.0441686   0.0604723   
7    0.00493705  0.0368739   
8    0.00282793  0           
9    0           0           
10   0           0           
NEnergy= 12.4501   Entries 11
0    0.0103951   0.0165578   
1    0.0690684   0.0737736   
2    0.0919124   0.0836065   
3    0.0964778   0.0904711   
4    0.0969795   0.0813686   
5    0.0666112   0.0761849   
6    0.045062    0.0584089   
7    0.00480201  0.0355719   
8    0.00274819  0           
9    0           0           
10   0           0           
NEnergy= 12.3501   Entries 11
0    0.0104316   0.016425    
1    0.0690941   0.073159    
2    0.0920265   0.0828626   
3    0.0975359   0.0902219   
4    0.0984056   0.0821223   
5    0.0680721   0.0758324   
6    0.0459775   0.0562719   
7    0.00466612  0.0342273   
8    0.00266813  0           
9    0           0           
10   0           0           
NEnergy= 12.2501   Entries 11
0    0.0104572   0.0162825   
1    0.0690836   0.0725057   
2    0.0921663   0.0821044   
3    0.0987119   0.0899625   
4    0.0999368   0.0828403   
5    0.0695622   0.0754304   
6    0.0469121   0.0540768   
7    0.00452947  0.0328502   
8    0.0025878   0           
9    0           0           
10   0           0           
NEnergy= 12.1501   Entries 11
0    0.0104714   0.01613     
1    0.0690358   0.0718123   
2    0.0923343   0.081331    
3    0.100012    0.089687    
4    0.101575    0.0835076   
5    0.0710768   0.074975    
6    0.0478628   0.0518393   
7    0.00439219  0.03145     
8    0.00250728  0           
9    0           0           
10   0           0           
NEnergy= 12.0501   Entries 11
0    0.0104741   0.0159671   
1    0.0689506   0.0710778   
2    0.092534    0.0805414   
3    0.101443    0.089389    
4    0.103324    0.0841083   
5    0.0726111   0.0744617   
6    0.0488263   0.0495742   
7    0.00425442  0.0300361   
8    0.00242665  0           
9    0           0           
10   0           0           
NEnergy= 11.9501   Entries 11
0    0.0104651   0.0157937   
1    0.0688282   0.0703013   
2    0.0927692   0.0797348   
3    0.103012    0.0890622   
4    0.105186    0.084626    
5    0.0741602   0.0738857   
6    0.0497993   0.0472961   
7    0.00411636  0.0286175   
8    0.00234601  0           
9    0           0           
10   0           0           
NEnergy= 11.8501   Entries 11
0    0.0104444   0.0156097   
