# #E, E1, M1
0.000000000000000000e+00 1.624679297375037289e-08 0.000000000000000000e+00
4.000000000000000083e-02 1.632049041099193403e-08 3.477203625528896972e-10
8.000000000000000167e-02 1.639437384588059289e-08 6.961515325329885548e-10
1.199999999999999956e-01 1.646862935030438285e-08 1.046008796470344659e-09
1.600000000000000033e-01 1.654344314468000720e-08 1.398016458125996727e-09
2.000000000000000111e-01 1.661900167233411756e-08 1.752912495931215891e-09
2.399999999999999911e-01 1.669549167402504763e-08 2.111453402581665052e-09
2.800000000000000266e-01 1.677310026265205213e-08 2.474419273561447300e-09
3.200000000000000067e-01 1.685201499819914751e-08 2.842619216792948895e-09
3.599999999999999867e-01 1.693242396296103445e-08 3.216897162680950362e-09
4.000000000000000222e-01 1.701451583709859883e-08 3.598138162756620976e-09
4.400000000000000022e-01 1.709847997457204392e-08 3.987275276200057969e-09
4.799999999999999822e-01 1.718450647949977232e-08 4.385297157068402745e-09
5.200000000000000178e-01 1.727278628299171566e-08 4.793256471499124903e-09
5.600000000000000533e-01 1.736351122050610735e-08 5.212279294008080970e-09
5.999999999999999778e-01 1.745687410977917734e-08 5.643575655882725218e-09
6.400000000000000133e-01 1.755306882937778649e-08 6.088451447337034756e-09
6.800000000000000488e-01 1.765229039792548539e-08 6.548321909453160012e-09
7.199999999999999734e-01 1.775473505405318988e-08 7.024726993070460550e-09
7.600000000000000089e-01 1.786060033712616568e-08 7.519348910983019368e-09
8.000000000000000444e-01 1.797008516879979497e-08 8.034032268586777016e-09
8.399999999999999689e-01 1.808338993545728629e-08 8.570807228236414915e-09
8.800000000000000044e-01 1.820071657158332607e-08 9.131916246036781728e-09
9.200000000000000400e-01 1.832226864412829547e-08 9.719845018833556468e-09
9.599999999999999645e-01 1.844825143791890381e-08 1.033735839615732282e-08
1.000000000000000000e+00 1.857887204217160260e-08 1.098754214916794497e-08
1.040000000000000036e+00 1.871433943816647115e-08 1.167385164825529977e-08
1.080000000000000071e+00 1.885486458814003553e-08 1.240016868398305468e-08
1.120000000000000107e+00 1.900066052545677966e-08 1.317086787172533235e-08
1.159999999999999920e+00 1.915194244611998432e-08 1.399089430431362818e-08
1.199999999999999956e+00 1.930892780168399534e-08 1.486585434868375179e-08
1.239999999999999991e+00 1.947183639363110109e-08 1.580212170057805919e-08
1.280000000000000027e+00 1.964089046927746995e-08 1.680696097660869914e-08
1.320000000000000062e+00 1.981631481927415000e-08 1.788867116682552116e-08
1.360000000000000098e+00 1.999833687677032788e-08 1.905675107712298501e-08
1.400000000000000133e+00 2.018718681830776089e-08 2.032208826678948749e-08
1.439999999999999947e+00 2.038309766651656358e-08 2.169717161871123650e-08
1.479999999999999982e+00 2.058630539468452539e-08 2.319632506535317025e-08
1.520000000000000018e+00 2.079704903327337648e-08 2.483595533818122654e-08
1.560000000000000053e+00 2.101557077845759292e-08 2.663479867734208733e-08
1.600000000000000089e+00 2.124211610276280460e-08 2.861413835478124713e-08
1.640000000000000124e+00 2.147693386788304325e-08 3.079794385482013863e-08
1.679999999999999938e+00 2.172027643975782473e-08 3.321284970365003148e-08
1.719999999999999973e+00 2.197239980599222031e-08 3.588784209731028106e-08
1.760000000000000009e+00 2.223356369570513333e-08 3.885344877005372722e-08
1.800000000000000044e+00 2.250403170189335295e-08 4.214012735092953152e-08
1.840000000000000080e+00 2.278407140640092905e-08 4.577542165592028800e-08
1.880000000000000115e+00 2.307395450758613204e-08 4.977932379673675850e-08
1.919999999999999929e+00 2.337395695078052107e-08 5.415720183717498032e-08
1.959999999999999964e+00 2.368435906163719210e-08 5.888975899923705412e-08
2.000000000000000000e+00 2.400544568246801645e-08 6.392001589460793655e-08
2.040000000000000036e+00 2.433750631167232485e-08 6.913857585107113854e-08
2.080000000000000071e+00 2.468083524636239951e-08 7.437069220788900930e-08
2.120000000000000107e+00 2.503573172829393999e-08 7.937162376099830191e-08
2.160000000000000142e+00 2.540250009321289740e-08 8.383893711010795384e-08
2.200000000000000178e+00 2.578144992373303652e-08 8.744880378935871656e-08
2.240000000000000213e+00 2.617289620586190690e-08 8.991505871870043473e-08
2.280000000000000249e+00 2.657715948929628940e-08 9.105607005834644252e-08
2.319999999999999840e+00 2.699456605161155231e-08 9.084367732501875335e-08
2.359999999999999876e+00 2.742544806647319317e-08 8.941148036036262339e-08
2.399999999999999911e+00 2.787014377600210434e-08 8.701835794673095196e-08
2.439999999999999947e+00 2.832899766742949473e-08 8.398473859995811821e-08
2.479999999999999982e+00 2.880236065418090706e-08 8.062827754580864015e-08
2.520000000000000018e+00 2.929059026153309799e-08 7.721865927028839077e-08
2.560000000000000053e+00 2.979405081699168767e-08 7.395727588652177885e-08
2.600000000000000089e+00 3.031311364554202806e-08 7.097683138002454450e-08
2.640000000000000124e+00 3.084815726992980581e-08 6.835216767050738917e-08
2.680000000000000160e+00 3.139956761613315636e-08 6.611483846716818561e-08
2.720000000000000195e+00 3.196773822419243032e-08 6.426689729595279490e-08
2.760000000000000231e+00 3.255307046456874222e-08 6.279195627878868863e-08
2.800000000000000266e+00 3.315597376020779916e-08 6.166317815001241834e-08
2.839999999999999858e+00 3.377686581449044959e-08 6.084861442088351853e-08
