#Energy 	 NLD
1.046	62.428
1.06291	67.3233
1.07982	72.2183
1.09672	77.113
1.11363	82.0073
1.13053	86.9013
1.14744	93.0939
1.16435	100.196
1.18125	107.299
1.19816	114.4
1.21506	121.501
1.23197	128.602
1.24888	136.736
1.26578	145.374
1.28269	154.01
1.29959	162.646
1.3165	171.281
1.33341	179.915
1.35031	190.328
1.36722	201.307
1.38413	212.286
1.40103	223.264
1.41794	234.24
1.43484	245.216
1.45175	258.527
1.46866	272.272
1.48556	286.015
1.50247	299.757
1.51937	313.498
1.53628	327.237
1.55319	343.192
1.57009	359.318
1.587	375.442
1.60391	391.564
1.62081	407.684
1.63772	423.81
1.65462	440.509
1.67153	457.206
1.68844	473.902
1.70534	490.595
1.72225	507.286
1.73915	524.199
1.75606	543.178
1.77297	562.156
1.78987	581.13
1.80678	600.102
1.82368	619.072
1.84059	638.464
1.8575	659.758
1.8744	681.049
1.89131	702.337
1.90822	723.622
1.92512	744.903
1.94203	769.201
1.95893	801.753
1.97584	834.3
1.99275	866.842
2.00965	899.379
2.02656	931.912
2.04346	972.901
2.06037	1029.41
2.07728	1085.91
2.09418	1142.4
2.11109	1198.88
2.128	1255.35
2.1449	1320.49
2.16181	1396.75
2.17871	1473
2.19562	1549.24
2.21253	1625.47
2.22943	1701.68
2.24634	1785.97
2.26324	1877.64
2.28015	1969.28
2.29706	2060.91
2.31396	2152.53
2.33087	2244.13
2.34777	2342.48
2.36468	2445.17
2.38159	2547.85
2.39849	2650.51
2.4154	2753.15
2.43231	2855.77
2.44921	2965.35
2.46612	3078.01
2.48302	3190.65
2.49993	3303.27
2.51684	3415.86
2.53374	3528.43
2.55065	3653.25
2.56755	3781.54
2.58446	3909.81
2.60137	4038.06
2.61827	4166.28
2.63518	4294.47
2.65208	4438.11
2.66899	4584.18
2.6859	4730.22
2.7028	4876.23
2.71971	5022.21
2.73662	5168.16
2.75352	5361.34
2.77043	5557.1
2.78733	5752.81
2.80424	5948.49
2.82115	6144.12
2.83805	6341.35
2.85496	6587.03
2.87186	6832.66
2.88877	7078.24
2.90568	7323.77
2.92258	7569.24
2.93949	7822.57
2.9564	8135.18
2.9733	8447.72
2.99021	8760.2
3.00711	9072.61
3.02402	9384.95
