# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 4.975585314050762520e+01
1.137500000000000178e+00 7.357200412091516739e+01
1.237500000000000044e+00 1.089353229850233475e+02
1.337500000000000133e+00 1.557316154633547285e+02
1.437500000000000222e+00 2.227990488618295615e+02
1.537500000000000311e+00 3.152636608368864017e+02
1.637500000000000400e+00 4.269652389310998046e+02
1.737500000000000044e+00 5.370523742431618075e+02
1.837500000000000133e+00 6.504588872252810461e+02
1.937500000000000222e+00 7.738265327450650375e+02
2.037500000000000533e+00 9.735054796870928158e+02
2.137500000000000178e+00 1.335675719032942197e+03
2.237499999999999822e+00 1.832627506086854282e+03
2.337500000000000355e+00 2.418788109010418793e+03
2.437500000000000000e+00 3.053395625847301289e+03
2.537500000000000533e+00 3.742179660536608026e+03
2.637500000000000178e+00 4.544011905535887308e+03
2.737499999999999822e+00 5.477412243365081849e+03
2.837500000000000355e+00 6.725109659065332380e+03
2.937500000000000000e+00 8.271998583014443284e+03
3.037500000000000533e+00 1.022726256388053116e+04
3.137500000000000178e+00 1.274302227909577232e+04
3.237499999999999822e+00 1.581816017474077125e+04
3.337500000000000355e+00 1.987206330020744281e+04
3.437500000000000000e+00 2.482541600972738161e+04
3.537499999999999645e+00 3.100833921742538587e+04
3.637500000000000178e+00 3.893090062497286999e+04
3.737499999999999822e+00 4.859167008675038232e+04
3.837500000000000355e+00 6.101026085782887094e+04
3.937500000000000000e+00 7.637428649588322151e+04
4.037500000000000533e+00 9.587779971297820157e+04
4.137500000000000178e+00 1.212099050824874721e+05
4.237499999999999822e+00 1.528481356884388661e+05
4.337500000000000355e+00 1.933541307525169977e+05
4.437500000000000000e+00 2.429976816428488819e+05
4.537500000000000533e+00 3.043116405518903630e+05
4.637500000000000178e+00 3.825508569840401760e+05
4.737499999999999822e+00 4.835495839311065502e+05
4.837500000000000355e+00 6.235812826812242856e+05
4.937500000000000000e+00 8.125310540740212891e+05
5.037500000000000533e+00 1.057589760633459780e+06
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.298446310777887935e+06
5.195026315789474047e+00 1.589166539895842550e+06
5.273789473684210805e+00 1.939074322118409909e+06
5.352552631578947562e+00 2.359056131443801336e+06
5.431315789473684319e+00 2.861793569376631174e+06
5.510078947368421076e+00 3.462026262924253941e+06
5.588842105263157833e+00 4.176848563861704431e+06
5.667605263157894591e+00 5.026043809068374336e+06
5.746368421052631348e+00 6.032460256700381637e+06
5.825131578947368993e+00 7.222433195638901554e+06
5.903894736842104862e+00 8.626258137769859284e+06
5.982657894736842508e+00 1.027872044601195864e+07
6.061421052631578377e+00 1.221968722750322148e+07
6.140184210526316022e+00 1.449476783295984380e+07
6.218947368421052779e+00 1.715604985199241713e+07
6.297710526315789537e+00 2.026291808226563781e+07
6.376473684210526294e+00 2.388296458005770296e+07
6.455236842105263051e+00 2.809299857336928695e+07
6.533999999999999808e+00 3.298016573868373409e+07
