#Energy 	 NLD
1.046	51.8448
1.06291	55.8747
1.07982	59.9043
1.09672	63.9337
1.11363	67.9628
1.13053	71.9915
1.14744	77.1691
1.16435	83.1516
1.18125	89.1337
1.19816	95.1153
1.21506	101.097
1.23197	107.077
1.24888	114.359
1.26578	122.274
1.28269	130.188
1.29959	138.101
1.3165	146.013
1.33341	153.925
1.35031	164.436
1.36722	175.775
1.38413	187.114
1.40103	198.452
1.41794	209.789
1.43484	221.124
1.45175	236.08
1.46866	251.709
1.48556	267.337
1.50247	282.963
1.51937	298.588
1.53628	314.21
1.55319	332.85
1.57009	351.723
1.587	370.594
1.60391	389.462
1.62081	408.329
1.63772	427.19
1.65462	445.78
1.67153	464.367
1.68844	482.953
1.70534	501.536
1.72225	520.117
1.73915	538.75
1.75606	557.888
1.77297	577.024
1.78987	596.157
1.80678	615.287
1.82368	634.414
1.84059	653.847
1.8575	674.653
1.8744	695.456
1.89131	716.256
1.90822	737.052
1.92512	757.846
1.94203	782.088
1.95893	815.765
1.97584	849.436
1.99275	883.102
2.00965	916.764
2.02656	950.42
2.04346	993.75
2.06037	1054.83
2.07728	1115.9
2.09418	1176.96
2.11109	1238.01
2.128	1299.05
2.1449	1370.05
2.16181	1453.82
2.17871	1537.57
2.19562	1621.32
2.21253	1705.05
2.22943	1788.77
2.24634	1880.34
2.26324	1979.08
2.28015	2077.8
2.29706	2176.51
2.31396	2275.2
2.33087	2373.88
2.34777	2477.5
2.36468	2584.32
2.38159	2691.11
2.39849	2797.89
2.4154	2904.65
2.43231	3011.38
2.44921	3124.43
2.46612	3240.27
2.48302	3356.08
2.49993	3471.87
2.51684	3587.64
2.53374	3703.39
2.55065	3833.93
2.56755	3968.68
2.58446	4103.4
2.60137	4238.1
2.61827	4372.77
2.63518	4507.42
2.65208	4661.15
2.66899	4817.9
2.6859	4974.62
2.7028	5131.31
2.71971	5287.96
2.73662	5444.58
2.75352	5651.3
2.77043	5860.76
2.78733	6070.16
2.80424	6279.53
2.82115	6488.84
2.83805	6699.76
2.85496	6959.33
2.87186	7218.85
2.88877	7478.31
2.90568	7737.71
2.92258	7997.06
2.93949	8264.43
2.9564	8592.33
2.9733	8920.16
2.99021	9247.92
3.00711	9575.61
3.02402	9903.22
3.04093	10249.9
3.05783	10671.5
3.07474	11093.1
3.09164	11514.5
3.10855	11935.9
3.12546	12357.2
3.14236	12805.4
3.15927	13320.5
3.17617	13835.4
3.19308	14350.2
3.20999	14864.9
3.22689	15379.4
3.2438	15955.1
3.26071	16633.7
3.27761	17312.1
3.29452	17990.4
3.31142	18668.6
3.32833	19346.5
3.34524	20093.4
3.36214	20921.9
3.37905	21750.2
3.39595	22578.3
3.41286	23406.3
3.42977	24234
3.44667	25173.4
3.46358	26206.8
3.48049	27240
3.49739	28272.9
3.5143	29305.6
3.5312	30338.1
3.54811	31553.2
3.56502	32876.5
3.58192	34199.5
3.59883	35522.2
3.61573	36844.5
3.63264	38166.5
3.64955	39695.6
3.66645	41308
3.68336	42919.9
3.70026	44531.4
3.71717	46142.6
3.73408	47753.3
3.75098	49731.6
3.76789	51802.8
3.7848	53873.5
3.8017	55943.7
3.81861	58013.3
3.83551	60082.4
3.85242	62585.6
3.86933	65146
3.88623	67705.7
3.90314	70264.8
3.92004	72823.3
3.93695	75381
3.95386	78607.2
3.97076	81855.1
3.98767	85102.1
4.00457	88348.2
4.02148	91593.5
4.03839	94889.1
4.05529	99105.7
4.0722	103321
4.08911	107536
4.10601	111749
4.12292	115961
4.13982	120317
4.15673	125579
4.17364	130840
4.19054	136099
4.20745	141357
4.22435	146613
4.24126	152197
4.25817	158929
4.27507	165659
4.29198	172387
4.30889	179113
4.32579	185838
4.3427	193029
4.3596	201271
4.37651	209512
4.39342	217751
4.41032	225987
4.42723	234221
4.44413	243215
4.46104	253387
