#Energy 	 NLD
1.046	62.8157
1.06291	67.668
1.07982	72.52
1.09672	77.3717
1.11363	82.223
1.13053	87.074
1.14744	93.0741
1.16435	99.8795
1.18125	106.684
1.19816	113.489
1.21506	120.292
1.23197	127.096
1.24888	134.523
1.26578	142.253
1.28269	149.983
1.29959	157.712
1.3165	165.44
1.33341	173.167
1.35031	181.922
1.36722	191.005
1.38413	200.087
1.40103	209.167
1.41794	218.247
1.43484	227.326
1.45175	237.781
1.46866	248.492
1.48556	259.201
1.50247	269.909
1.51937	280.617
1.53628	291.322
1.55319	303.448
1.57009	315.683
1.587	327.917
1.60391	340.149
1.62081	352.38
1.63772	364.614
1.65462	377.255
1.67153	389.895
1.68844	402.533
1.70534	415.169
1.72225	427.804
1.73915	440.642
1.75606	455.38
1.77297	470.115
1.78987	484.848
1.80678	499.579
1.82368	514.308
1.84059	529.395
1.8575	546.089
1.8744	562.78
1.89131	579.469
1.90822	596.155
1.92512	612.839
1.94203	631.889
1.95893	657.415
1.97584	682.937
1.99275	708.455
2.00965	733.969
2.02656	759.479
2.04346	791.549
2.06037	835.655
2.07728	879.755
2.09418	923.849
2.11109	967.935
2.128	1012.01
2.1449	1062.77
2.16181	1122.1
2.17871	1181.41
2.19562	1240.72
2.21253	1300.02
2.22943	1359.31
2.24634	1425.63
2.26324	1498.37
2.28015	1571.1
2.29706	1643.81
2.31396	1716.51
2.33087	1789.21
2.34777	1869.71
2.36468	1955.24
2.38159	2040.76
2.39849	2126.27
2.4154	2211.76
2.43231	2297.23
2.44921	2392.52
2.46612	2492.16
2.48302	2591.77
2.49993	2691.37
2.51684	2790.95
2.53374	2890.51
2.55065	3004.62
2.56755	3122.87
2.58446	3241.1
2.60137	3359.3
2.61827	3477.48
2.63518	3595.64
2.65208	3729.59
2.66899	3866.03
2.6859	4002.44
2.7028	4138.83
2.71971	4275.19
2.73662	4411.51
2.75352	4588.92
2.77043	4768.57
2.78733	4948.17
2.80424	5127.74
2.82115	5307.27
2.83805	5488.18
2.85496	5710.91
2.87186	5933.6
2.88877	6156.23
2.90568	6378.82
2.92258	6601.37
2.93949	6830.85
2.9564	7112.66
2.9733	7394.41
2.99021	7676.1
3.00711	7957.73
3.02402	8239.3
3.04093	8537.18
3.05783	8899.4
3.07474	9261.54
3.09164	9623.6
3.10855	9985.58
3.12546	10347.5
3.14236	10733
3.15927	11177
3.17617	11620.9
3.19308	12064.8
3.20999	12508.5
3.22689	12952.1
3.2438	13450.2
3.26071	14040.2
3.27761	14630
3.29452	15219.7
3.31142	15809.2
3.32833	16398.6
3.34524	17052.7
3.36214	17783.5
3.37905	18514
3.39595	19244.4
3.41286	19974.7
3.42977	20704.7
3.44667	21539.1
3.46358	22461.3
3.48049	23383.3
3.49739	24305.1
3.5143	25226.7
3.5312	26148.1
3.54811	27238.5
3.56502	28429.2
3.58192	29619.6
3.59883	30809.6
3.61573	31999.4
3.63264	33188.9
3.64955	34578.4
3.66645	36048.2
3.68336	37517.7
3.70026	38986.8
3.71717	40455.6
3.73408	41924
3.75098	43752.9
3.76789	45673
3.7848	47592.6
3.8017	49511.7
3.81861	51430.4
3.83551	53348.5
3.85242	55709
3.86933	58127.8
3.88623	60546
3.90314	62963.6
3.92004	65380.6
3.93695	67796.9
3.95386	70876.8
3.97076	73978.2
3.98767	77078.9
4.00457	80178.7
4.02148	83277.7
4.03839	86425.2
4.05529	90461.4
4.0722	94496.5
4.08911	98530.6
4.10601	102564
4.12292	106596
4.13982	110766
4.15673	115814
4.17364	120859
4.19054	125904
4.20745	130947
4.22435	135988
4.24126	141356
4.25817	147864
4.27507	154371
4.29198	160876
4.30889	167379
4.32579	173880
4.3427	180894
4.3596	189064
4.37651	197231
4.39342	205396
4.41032	213559
4.42723	221720
4.44413	230774
4.46104	241212
4.47795	251647
4.49485	262079
4.51176	272508
4.52866	282934
4.54557	294830
4.56248	308334
4.57938	321834
4.59629	335330
4.6132	348823
4.6301	362312
4.64701	377647
4.66391	394416
4.68082	411180
4.69773	427940
4.71463	444695
4.73154	461445
4.74844	481116
4.76535	502375
4.78226	523627
4.79916	544874
4.81607	566115
4.83298	587350
4.84988	612375
4.86679	638781
4.88369	665179
4.9006	691570
4.91751	717954
4.93441	744330
4.95132	777001
4.96822	811071
4.98513	845131
5.00204	879182
5.01894	913223
5.03585	947254
5.05275	993552
5.06966	1.04116e+06
5.08657	1.08876e+06
5.10347	1.13635e+06
5.12038	1.1864e+06
5.13729	1.24413e+06
5.15419	1.30185e+06
5.1711	1.35955e+06
5.188	1.41724e+06
5.20491	1.482e+06
5.22182	1.55178e+06
5.23872	1.62154e+06
5.25563	1.69129e+06
5.27253	1.76101e+06
5.28944	1.84407e+06
5.30635	1.92817e+06
5.32325	2.01225e+06
5.34016	2.09631e+06
5.35706	2.18491e+06
5.37397	2.28602e+06
5.39088	2.38711e+06
5.40778	2.48817e+06
