# E gsf_sum
1.375000000000000666e-01 1.084637914404135572e-08
2.375000000000000444e-01 1.182987344747523392e-08
3.375000000000001332e-01 1.292367206493738563e-08
4.375000000000002220e-01 1.413534201032196369e-08
5.375000000000000888e-01 1.548292772914981718e-08
6.375000000000001776e-01 1.699043785005198339e-08
7.375000000000000444e-01 1.872014590644916003e-08
8.375000000000001332e-01 2.075139488734677052e-08
9.375000000000002220e-01 2.319793141326225787e-08
1.037500000000000089e+00 2.609411127772650368e-08
1.137500000000000178e+00 2.937414287454957797e-08
1.237500000000000044e+00 3.282316093688367465e-08
1.337500000000000133e+00 3.635752904524464783e-08
1.437500000000000222e+00 4.008513353926581946e-08
1.537500000000000311e+00 4.442881050826260239e-08
1.637500000000000400e+00 4.974331976039909561e-08
1.737500000000000044e+00 5.636762046390903655e-08
1.837500000000000133e+00 6.429291019626893887e-08
1.937500000000000222e+00 7.335060989755265635e-08
2.037500000000000533e+00 8.284570703585574712e-08
2.137500000000000178e+00 9.155682283370944329e-08
2.237499999999999822e+00 9.791361030701970516e-08
2.337500000000000355e+00 1.002976180012734808e-07
2.437500000000000000e+00 9.875134673160574897e-08
2.537500000000000533e+00 9.449825900914707245e-08
2.637500000000000178e+00 8.970110418975705602e-08
2.737499999999999822e+00 8.584576071458047579e-08
2.837500000000000355e+00 8.345013867218229884e-08
2.937500000000000000e+00 8.251048666495853512e-08
3.037500000000000533e+00 8.268623924430399233e-08
3.137500000000000178e+00 8.386904744160059385e-08
3.237499999999999822e+00 8.581698428868427515e-08
3.337500000000000355e+00 8.829791744237667231e-08
3.437500000000000000e+00 9.085057187375335888e-08
3.537499999999999645e+00 9.300262605634710222e-08
3.637500000000000178e+00 9.439804243558831055e-08
3.737499999999999822e+00 9.483286673315081327e-08
3.837500000000000355e+00 9.443895547000603412e-08
3.937500000000000000e+00 9.343338258969295218e-08
4.037500000000000533e+00 9.218611593867268347e-08
4.137500000000000178e+00 9.108484746183314609e-08
4.237499999999999822e+00 9.034833182208588712e-08
4.337500000000000355e+00 9.011006948508611045e-08
4.437500000000000000e+00 9.033287713504400743e-08
4.537500000000000533e+00 9.089153257768900405e-08
4.637500000000000178e+00 9.178723751977345597e-08
4.737499999999999822e+00 9.315100235055230655e-08
4.837500000000000355e+00 9.531809858845315614e-08
4.937500000000000000e+00 9.850386211704262437e-08
5.037500000000000533e+00 1.025194692442322495e-07
5.137500000000000178e+00 1.068825479025775326e-07
5.237499999999999822e+00 1.112936072751970417e-07
5.337500000000000355e+00 1.159150078817414738e-07
5.437500000000000000e+00 1.210391660844103498e-07
5.537500000000000533e+00 1.265571928704459119e-07
5.637500000000000178e+00 1.320208000421530485e-07
5.737499999999999822e+00 1.373540377739177271e-07
5.837500000000000355e+00 1.433084077842140152e-07
5.937500000000000000e+00 1.509398862891608060e-07
6.037500000000000533e+00 1.606594114483024756e-07
6.137500000000000178e+00 1.719473164051671518e-07
6.237499999999999822e+00 1.839473224616443410e-07
6.337500000000000355e+00 1.962127167729201454e-07
6.437500000000000000e+00 2.087511408688504704e-07
