#Energy 	 NLD
6.35453	2.21818e+07
6.37143	2.29305e+07
6.38834	2.37647e+07
6.40524	2.46351e+07
6.42215	2.55053e+07
6.43906	2.63752e+07
6.45596	2.72509e+07
6.47287	2.82605e+07
6.48978	2.92697e+07
6.50668	3.02786e+07
6.52359	3.12873e+07
6.54049	3.20403e+07
6.5574	3.23838e+07
6.57431	3.27272e+07
6.59121	3.30704e+07
6.60812	3.34136e+07
6.62502	3.37565e+07
6.64193	3.40994e+07
6.65884	3.44421e+07
6.67574	3.47847e+07
6.69265	3.51272e+07
6.70955	3.54695e+07
6.72646	3.58117e+07
6.74337	3.61538e+07
6.76027	3.64957e+07
6.77718	3.68375e+07
6.79409	3.71792e+07
6.81099	3.75207e+07
6.8279	3.78621e+07
6.8448	3.82034e+07
6.86171	3.85445e+07
6.87862	3.88855e+07
6.89552	3.92264e+07
6.91243	3.95671e+07
6.92933	3.99077e+07
6.94624	4.02481e+07
6.96315	4.05884e+07
6.98005	4.09286e+07
6.99696	4.12686e+07
7.01387	4.16085e+07
7.03077	4.19483e+07
7.04768	4.22879e+07
7.06458	4.26273e+07
7.08149	4.29666e+07
7.0984	4.33058e+07
7.1153	4.36449e+07
7.13221	4.39838e+07
7.14911	4.43225e+07
7.16602	4.46611e+07
7.18293	4.49996e+07
7.19983	4.53379e+07
7.21674	4.56761e+07
7.23364	4.60141e+07
7.25055	4.6352e+07
7.26746	4.66897e+07
7.28436	4.70273e+07
7.30127	4.73648e+07
7.31818	4.77021e+07
7.33508	4.80392e+07
7.35199	4.83762e+07
7.36889	4.87131e+07
7.3858	4.90498e+07
7.40271	4.93864e+07
7.41961	4.97228e+07
7.43652	5.0059e+07
7.45342	5.03951e+07
7.47033	5.07311e+07
7.48724	5.10669e+07
7.50414	5.14025e+07
7.52105	5.1738e+07
7.53796	5.20734e+07
7.55486	5.24086e+07
7.57177	5.27436e+07
7.58867	5.30785e+07
7.60558	5.34132e+07
7.62249	5.37478e+07
7.63939	5.40822e+07
7.6563	5.44165e+07
7.6732	5.47506e+07
7.69011	5.50845e+07
7.70702	5.54183e+07
7.72392	5.5752e+07
7.74083	5.60855e+07
7.75773	5.64188e+07
7.77464	5.67519e+07
7.79155	5.7085e+07
