 Parameters used:

First geneneration spectra extracted for
excitation energies between  6838.-   38. keV
corresponding to y-channels    68 -    0
 Number of spectra=   69
 Ax0 =    39.0 Ax1 =   104.0 Ay0 =    37.5 Ay1 =   100.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      560.0 keV (ch=   5)
 Upper threshold for statistical gammas: 1400.0 keV (ch=  13)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 17  1738.    10104.     2720.     7385. 1.29    1000  0.85  1.37  1.29  1.37  1.07
 16  1638.    10469.     2562.     7907. 1.28    1000  0.85  1.32  1.28  1.32  1.04
 15  1538.    10834.     2620.     8214. 1.32    1000  0.97  1.32  1.32  1.32  1.06
 14  1438.    12660.     3034.     9626. 1.32    1000  1.10  1.32  1.32  1.32  1.04
 13  1338.    18719.     4107.    14612. 1.29    1000  1.15  1.28  1.29  1.28  1.00
 12  1238.    23006.     4353.    18653. 1.24    1000  1.15  1.23  1.24  1.23  0.94
 11  1138.    13180.     1920.    11260. 1.17    1000  1.12  1.17  1.17  1.17  0.86
 10  1038.     3819.      400.     3420. 1.13    1000  1.15  1.12  1.13  1.12  0.80
  9   938.      841.       39.      803. 0.98    1000  0.85  1.05  0.98  1.05  0.66
  8   838.      144.        0.      144. 0.89    1000  0.85  1.00  0.89  1.00  0.57
  7   738.       18.        0.       18. 0.93    1000  0.85  1.00  0.93  1.00  0.55
  6   638.       11.        0.       11. 1.14    1000  0.85  1.00  1.14  1.00  0.60
  5   538.        7.        0.        7. 0.96       0  0.85  1.00  0.96  1.00  0.42
  4   438.        3.        0.        3. 0.78       0  0.85  1.00  0.78  1.00  0.36
