#Energy 	 NLD
1.046	55.4745
1.06291	59.719
1.07982	63.9632
1.09672	68.2071
1.11363	72.4507
1.13053	76.6941
1.14744	82.0342
1.16435	88.1429
1.18125	94.2512
1.19816	100.359
1.21506	106.466
1.23197	112.573
1.24888	119.72
1.26578	127.372
1.28269	135.024
1.29959	142.674
1.3165	150.325
1.33341	157.974
1.35031	167.694
1.36722	178.075
1.38413	188.455
1.40103	198.834
1.41794	209.211
1.43484	219.588
1.45175	232.844
1.46866	246.635
1.48556	260.424
1.50247	274.213
1.51937	287.999
1.53628	301.785
1.55319	318.123
1.57009	334.657
1.587	351.19
1.60391	367.722
1.62081	384.251
1.63772	400.781
1.65462	417.543
1.67153	434.302
1.68844	451.06
1.70534	467.815
1.72225	484.568
1.73915	501.467
1.75606	519.726
1.77297	537.982
1.78987	556.236
1.80678	574.487
1.82368	592.736
1.84059	611.393
1.8575	631.883
1.8744	652.37
1.89131	672.854
1.90822	693.335
1.92512	713.813
1.94203	737.537
1.95893	770.139
1.97584	802.737
1.99275	835.33
2.00965	867.918
2.02656	900.501
2.04346	942.146
2.06037	1000.42
2.07728	1058.68
2.09418	1116.94
2.11109	1175.18
2.128	1233.42
2.1449	1301.26
2.16181	1381.44
2.17871	1461.61
2.19562	1541.76
2.21253	1621.91
2.22943	1702.04
2.24634	1790.54
2.26324	1886.7
2.28015	1982.84
2.29706	2078.96
2.31396	2175.07
2.33087	2271.16
2.34777	2373.23
2.36468	2479.15
2.38159	2585.06
2.39849	2690.94
2.4154	2796.81
2.43231	2902.65
2.44921	3014.78
2.46612	3129.68
2.48302	3244.56
2.49993	3359.42
2.51684	3474.26
2.53374	3589.07
2.55065	3716.82
2.56755	3848.24
2.58446	3979.64
2.60137	4111.02
2.61827	4242.36
2.63518	4373.68
2.65208	4521.96
2.66899	4672.9
2.6859	4823.82
2.7028	4974.71
2.71971	5125.56
2.73662	5276.38
2.75352	5476.18
2.77043	5678.63
2.78733	5881.05
2.80424	6083.42
2.82115	6285.76
2.83805	6489.74
2.85496	6743.78
2.87186	6997.76
2.88877	7251.7
2.90568	7505.58
2.92258	7759.4
2.93949	8021.5
2.9564	8346
2.9733	8670.42
2.99021	8994.78
3.00711	9319.06
3.02402	9643.27
3.04093	9986.78
3.05783	10406.4
3.07474	10825.9
3.09164	11245.4
3.10855	11664.7
3.12546	12083.9
3.14236	12530.4
3.15927	13044.6
3.17617	13558.7
3.19308	14072.6
3.20999	14586.4
3.22689	15100.1
3.2438	15674.8
3.26071	16352.3
3.27761	17029.7
3.29452	17706.8
3.31142	18383.9
3.32833	19060.7
3.34524	19805.6
3.36214	20631.2
3.37905	21456.7
3.39595	22281.9
3.41286	23106.9
3.42977	23931.7
3.44667	24864.4
3.46358	25887.9
3.48049	26911.2
3.49739	27934.2
3.5143	28956.9
3.5312	29979.4
3.54811	31177.8
3.56502	32480.3
3.58192	33782.5
3.59883	35084.3
3.61573	36385.9
3.63264	37687.1
3.64955	39192.4
3.66645	40779.7
3.68336	42366.6
3.70026	43953.1
3.71717	45539.3
3.73408	47125
3.75098	49087.8
3.76789	51145.8
3.7848	53203.4
3.8017	55260.4
3.81861	57317
3.83551	59373
3.85242	61890
3.86933	64467.8
3.88623	67044.9
3.90314	69621.4
3.92004	72197.2
3.93695	74772.4
3.95386	78046.8
3.97076	81344
3.98767	84640.3
4.00457	87935.8
4.02148	91230.3
4.03839	94575.9
4.05529	98856.1
4.0722	103135
4.08911	107413
4.10601	111690
4.12292	115966
4.13982	120385
4.15673	125705
4.17364	131024
4.19054	136342
4.20745	141658
4.22435	146973
4.24126	152618
4.25817	159419
4.27507	166219
4.29198	173017
4.30889	179813
4.32579	186607
4.3427	193898
4.3596	202308
4.37651	210717
4.39342	219123
4.41032	227526
4.42723	235928
4.44413	245175
4.46104	255733
4.47795	266289
4.49485	276842
4.51176	287391
4.52866	297938
4.54557	309929
4.56248	323500
4.57938	337068
4.59629	350632
4.6132	364192
4.6301	377748
4.64701	393369
4.66391	410596
4.68082	427817
4.69773	445034
4.71463	462246
4.73154	479453
4.74844	500443
4.76535	523492
4.78226	546533
4.79916	569569
4.81607	592598
4.83298	615620
4.84988	643900
4.86679	674097
4.88369	704285
4.9006	734464
4.91751	764635
4.93441	794797
4.95132	832274
4.96822	871377
4.98513	910470
5.00204	949551
5.01894	988621
5.03585	1.02768e+06
5.05275	1.07693e+06
5.06966	1.12727e+06
5.08657	1.17759e+06
5.10347	1.2279e+06
5.12038	1.28074e+06
5.13729	1.34149e+06
5.15419	1.40221e+06
5.1711	1.46292e+06
5.188	1.52362e+06
5.20491	1.59155e+06
5.22182	1.66462e+06
5.23872	1.73767e+06
5.25563	1.8107e+06
5.27253	1.88371e+06
5.28944	1.9703e+06
5.30635	2.05796e+06
5.32325	2.14559e+06
5.34016	2.2332e+06
5.35706	2.32541e+06
5.37397	2.43032e+06
5.39088	2.53519e+06
5.40778	2.64003e+06
5.42469	2.74484e+06
5.4416	2.86204e+06
5.4585	2.98722e+06
5.47541	3.11236e+06
5.49231	3.23746e+06
5.50922	3.36253e+06
5.52613	3.51034e+06
5.54303	3.65933e+06
5.55994	3.80827e+06
5.57684	3.95717e+06
5.59375	4.1142e+06
5.61066	4.29115e+06
5.62756	4.46804e+06
5.64447	4.64488e+06
5.66138	4.82167e+06
5.67828	5.01918e+06
5.69519	5.22877e+06
5.71209	5.43829e+06
5.729	5.64774e+06
5.74591	5.85714e+06
5.76281	6.10382e+06
5.77972	6.35149e+06
5.79662	6.59907e+06
5.81353	6.84659e+06
5.83044	7.10806e+06
5.84734	7.40014e+06
5.86425	7.69213e+06
5.88115	7.98404e+06
5.89806	8.27586e+06
5.91497	8.60163e+06
5.93187	8.94524e+06
5.94878	9.28874e+06
5.96569	9.63214e+06
5.98259	9.97543e+06
5.9995	1.03787e+07
6.0164	1.0782e+07
6.03331	1.11852e+07
6.05022	1.15884e+07
6.06712	1.20149e+07
6.08403	1.24875e+07
6.10093	1.296e+07
6.11784	1.34323e+07
6.13475	1.39045e+07
6.15165	1.44313e+07
6.16856	1.49838e+07
6.18547	1.55362e+07
6.20237	1.60884e+07
6.21928	1.66422e+07
6.23618	1.7287e+07
6.25309	1.79316e+07
6.27	1.85761e+07
6.2869	1.92203e+07
6.30381	1.99029e+07
6.32071	2.06538e+07
6.33762	2.14044e+07
6.35453	2.21548e+07
6.37143	2.2905e+07
6.38834	2.37413e+07
6.40524	2.46139e+07
6.42215	2.54864e+07
6.43906	2.63585e+07
6.45596	2.72364e+07
6.47287	2.82491e+07
6.48978	2.92615e+07
6.50668	3.02736e+07
6.52359	3.12853e+07
6.54049	3.20404e+07
6.5574	3.2384e+07
6.57431	3.27275e+07
6.59121	3.30709e+07
6.60812	3.34141e+07
6.62502	3.37573e+07
6.64193	3.41003e+07
6.65884	3.44431e+07
6.67574	3.47858e+07
6.69265	3.51284e+07
6.70955	3.54709e+07
6.72646	3.58133e+07
6.74337	3.61555e+07
6.76027	3.64975e+07
6.77718	3.68395e+07
6.79409	3.71813e+07
6.81099	3.75229e+07
6.8279	3.78645e+07
6.8448	3.82059e+07
6.86171	3.85471e+07
6.87862	3.88882e+07
6.89552	3.92292e+07
6.91243	3.95701e+07
6.92933	3.99108e+07
6.94624	4.02514e+07
6.96315	4.05918e+07
6.98005	4.09321e+07
6.99696	4.12723e+07
7.01387	4.16123e+07
7.03077	4.19522e+07
7.04768	4.22919e+07
7.06458	4.26315e+07
7.08149	4.29709e+07
7.0984	4.33103e+07
7.1153	4.36494e+07
7.13221	4.39885e+07
7.14911	4.43273e+07
7.16602	4.46661e+07
7.18293	4.50047e+07
7.19983	4.53431e+07
7.21674	4.56814e+07
7.23364	4.60196e+07
7.25055	4.63576e+07
7.26746	4.66955e+07
7.28436	4.70332e+07
7.30127	4.73708e+07
7.31818	4.77082e+07
7.33508	4.80455e+07
7.35199	4.83826e+07
7.36889	4.87196e+07
7.3858	4.90565e+07
7.40271	4.93931e+07
7.41961	4.97297e+07
7.43652	5.00661e+07
7.45342	5.04023e+07
7.47033	5.07384e+07
7.48724	5.10743e+07
7.50414	5.14101e+07
7.52105	5.17457e+07
7.53796	5.20812e+07
7.55486	5.24165e+07
7.57177	5.27517e+07
7.58867	5.30867e+07
7.60558	5.34216e+07
7.62249	5.37563e+07
7.63939	5.40908e+07
7.6563	5.44252e+07
7.6732	5.47595e+07
7.69011	5.50935e+07
7.70702	5.54275e+07
7.72392	5.57612e+07
7.74083	5.60949e+07
7.75773	5.64283e+07
7.77464	5.67616e+07
7.79155	5.70947e+07
