# #E, E1, M1
0.000000000000000000e+00 9.452457088173761719e-09 0.000000000000000000e+00
4.000000000000000083e-02 9.495717413007092905e-09 4.023094177580829565e-10
8.000000000000000167e-02 9.539154648594667206e-09 8.056838997995687150e-10
1.199999999999999956e-01 9.582945777963517830e-09 1.211195021273533743e-09
1.600000000000000033e-01 9.627267928732962447e-09 1.619927441711317552e-09
2.000000000000000111e-01 9.672298445527491202e-09 2.032985604479046399e-09
2.399999999999999911e-01 9.718214962529956156e-09 2.451500626713665376e-09
2.800000000000000266e-01 9.765195476221898743e-09 2.876637446168472228e-09
3.200000000000000067e-01 9.813418418358227434e-09 3.309602293866119236e-09
3.599999999999999867e-01 9.863062729223502418e-09 3.751650564486370780e-09
4.000000000000000222e-01 9.914307931217461324e-09 4.204095159945552839e-09
4.400000000000000022e-01 9.967334202817620198e-09 4.668315385568469001e-09
4.799999999999999822e-01 1.002232245296721239e-08 5.145766482482935368e-09
5.200000000000000178e-01 1.007945439593704241e-08 5.637989884194600802e-09
5.600000000000000533e-01 1.013891262671029487e-08 6.146624289455755586e-09
5.999999999999999778e-01 1.020088069693984517e-08 6.673417647144097283e-09
6.400000000000000133e-01 1.026554319152802845e-08 7.220240151378922411e-09
6.800000000000000488e-01 1.033308580587954504e-08 7.789098345777569097e-09
7.199999999999999734e-01 1.040369542387865840e-08 8.382150433565050526e-09
7.600000000000000089e-01 1.047756019664256821e-08 9.001722883787117209e-09
8.000000000000000444e-01 1.055486962210353719e-08 9.650328411225420782e-09
8.399999999999999689e-01 1.063581462547310195e-08 1.033068538618171192e-08
8.800000000000000044e-01 1.072058764064250667e-08 1.104573869659877348e-08
9.200000000000000400e-01 1.080938269257434234e-08 1.179868203435200998e-08
9.599999999999999645e-01 1.090239548074131889e-08 1.259298150376343660e-08
1.000000000000000000e+00 1.099982346366900249e-08 1.343240034523445550e-08
1.040000000000000036e+00 1.110186594464043231e-08 1.432102441954794133e-08
1.080000000000000071e+00 1.120872415862150358e-08 1.526328789473257991e-08
1.120000000000000107e+00 1.132060136046725637e-08 1.626399829914235966e-08
1.159999999999999920e+00 1.143770291447028322e-08 1.732835972820401527e-08
1.199999999999999956e+00 1.156023638531374227e-08 1.846199248863220845e-08
1.239999999999999991e+00 1.168841163049277650e-08 1.967094679628512277e-08
1.280000000000000027e+00 1.182244089426952086e-08 2.096170726814584738e-08
1.320000000000000062e+00 1.196253890322822577e-08 2.234118381384880045e-08
1.360000000000000098e+00 1.210892296349861039e-08 2.381668308123975615e-08
1.400000000000000133e+00 1.226181305971701640e-08 2.539585278717604422e-08
1.439999999999999947e+00 1.242143195579667699e-08 2.708658902307133548e-08
1.479999999999999982e+00 1.258800529757996234e-08 2.889689394776839812e-08
1.520000000000000018e+00 1.276176171744736550e-08 3.083466821238516482e-08
1.560000000000000053e+00 1.294293294095971641e-08 3.290741915835154160e-08
1.600000000000000089e+00 1.313175389561211856e-08 3.512186263311978330e-08
1.640000000000000124e+00 1.332846282178000526e-08 3.748339381231120236e-08
1.679999999999999938e+00 1.353330138593987803e-08 3.999540176401438840e-08
1.719999999999999973e+00 1.374651479624933791e-08 4.265840527992141722e-08
1.760000000000000009e+00 1.396835192057332790e-08 4.546899606872199366e-08
1.800000000000000044e+00 1.419906540704585957e-08 4.841859280366122139e-08
1.840000000000000080e+00 1.443891180725874923e-08 5.149203921072826259e-08
1.880000000000000115e+00 1.468815170217162302e-08 5.466612448382054865e-08
1.919999999999999929e+00 1.494704983083984171e-08 5.790816597606556018e-08
1.959999999999999964e+00 1.521587522205986335e-08 6.117486900861447542e-08
2.000000000000000000e+00 1.549490132903415605e-08 6.441175567671875471e-08
2.040000000000000036e+00 1.578440616716095420e-08 6.755351199996269140e-08
2.080000000000000071e+00 1.608467245505686321e-08 7.052560809476940760e-08
2.120000000000000107e+00 1.639598775892365285e-08 7.324746155950898849e-08
2.160000000000000142e+00 1.671864464037367147e-08 7.563721143842418933e-08
2.200000000000000178e+00 1.705294080783181045e-08 7.761785119004481464e-08
2.240000000000000213e+00 1.739917927163518774e-08 7.912408728656384460e-08
2.280000000000000249e+00 1.775766850295554062e-08 8.010895320630316706e-08
2.319999999999999840e+00 1.812872259667293465e-08 8.054905124920148894e-08
2.359999999999999876e+00 1.851266143833316391e-08 8.044742027968685849e-08
2.399999999999999911e+00 1.890981087532535406e-08 7.983344631691848975e-08
2.439999999999999947e+00 1.932050289242034895e-08 7.875983594970131664e-08
2.479999999999999982e+00 1.974507579181459467e-08 7.729726889967056565e-08
2.520000000000000018e+00 2.018387437782886656e-08 7.552774778111616352e-08
2.560000000000000053e+00 2.063725014641559241e-08 7.353776859850987927e-08
2.600000000000000089e+00 2.110556147963327613e-08 7.141226233563490146e-08
2.640000000000000124e+00 2.158917384525145285e-08 6.922991364866589826e-08
2.680000000000000160e+00 2.208846000165456311e-08 6.706008153861178262e-08
2.720000000000000195e+00 2.260380020821847377e-08 6.496123365695038280e-08
2.760000000000000231e+00 2.313558244133858809e-08 6.298061016553434000e-08
2.800000000000000266e+00 2.368420261629425758e-08 6.115475437949743034e-08
2.839999999999999858e+00 2.425006481513974405e-08 5.951055611686463287e-08
2.879999999999999893e+00 2.483358152081816385e-08 5.806651219380556181e-08
2.919999999999999929e+00 2.543517385770066020e-08 5.683398509544038007e-08
2.959999999999999964e+00 2.605527183875974591e-08 5.581831487703284728e-08
3.000000000000000000e+00 2.669431461959205574e-08 5.501970083319588585e-08
3.040000000000000036e+00 2.735275075951241089e-08 5.443381617176976224e-08
3.080000000000000071e+00 2.803103848994851681e-08 5.405215311059500644e-08
3.120000000000000107e+00 2.872964599037210686e-08 5.386212171448299640e-08
3.160000000000000142e+00 2.944905167201043431e-08 5.384694790564049228e-08
3.200000000000000178e+00 3.018974446958910245e-08 5.398543806075471928e-08
3.240000000000000213e+00 3.095222414136548110e-08 5.425170138890731851e-08
3.280000000000000249e+00 3.173700157771981286e-08 5.461494627133137327e-08
3.320000000000000284e+00 3.254459911857961560e-08 5.503948902970807366e-08
3.359999999999999876e+00 3.337555087996141532e-08 5.548512554253381454e-08
3.399999999999999911e+00 3.423040308992301834e-08 5.590800700304800736e-08
3.439999999999999947e+00 3.510971443422816102e-08 5.626211948468644620e-08
3.479999999999999982e+00 3.601405641203531797e-08 5.650138546129312181e-08
3.520000000000000018e+00 3.694401370193142955e-08 5.658228692964207400e-08
3.560000000000000053e+00 3.790018453864194363e-08 5.646677280802651633e-08
3.600000000000000089e+00 3.888318110075815536e-08 5.612509226311603232e-08
3.640000000000000124e+00 3.989362990983331722e-08 5.553813281680077284e-08
3.680000000000000160e+00 4.093217224121043341e-08 5.469887154271038836e-08
3.720000000000000195e+00 4.199946454695442630e-08 5.361267741624171592e-08
3.760000000000000231e+00 4.309617889127386329e-08 5.229640567506197280e-08
3.800000000000000266e+00 4.422300339882809957e-08 5.077644512904318361e-08
3.839999999999999858e+00 4.538064271632790152e-08 4.908605399622792831e-08
3.879999999999999893e+00 4.656981848784999677e-08 4.726240459723645895e-08
3.919999999999999929e+00 4.779126984429739213e-08 4.534374151375610713e-08
3.959999999999999964e+00 4.904575390745122365e-08 4.336696368247631487e-08
4.000000000000000000e+00 5.033404630907176833e-08 4.136580858572702153e-08
4.000000000000000000e+00 5.033404630907176833e-08 4.136580858572702153e-08
4.107382550335570315e+00 5.396595723504585705e-08 3.608417925475089112e-08
4.214765100671140630e+00 5.786341161424807246e-08 3.121654218780987623e-08
4.322147651006710944e+00 6.204359979547510802e-08 2.693834709440158127e-08
4.429530201342282147e+00 6.652489981631513797e-08 2.327883291264439621e-08
4.536912751677852462e+00 7.132697255770274993e-08 2.019185158280558067e-08
4.644295302013422777e+00 7.647086478041620806e-08 1.760232368264695513e-08
4.751677852348993092e+00 8.197912068764683130e-08 1.543099673184541293e-08
4.859060402684563407e+00 8.787590269659300117e-08 1.360545178121125263e-08
4.966442953020134610e+00 9.418712213890338531e-08 1.206377028644174471e-08
5.073825503355704925e+00 1.009405806430936340e-07 1.075476137547368396e-08
5.181208053691275239e+00 1.081661229796602111e-07 9.636812230997539851e-09
5.288590604026845554e+00 1.158958021687362198e-07 8.676350418775987696e-09
5.395973154362415869e+00 1.241640576572090200e-07 7.846345872337999022e-09
5.503355704697986184e+00 1.330079073626601498e-07 7.125008450025489890e-09
5.610738255033556499e+00 1.424671543494675867e-07 6.494714541460336667e-09
5.718120805369127702e+00 1.525846088405292896e-07 5.941146448694361173e-09
5.825503355704698016e+00 1.634063261670135549e-07 5.452612055099286909e-09
5.932885906040268331e+00 1.749818611066189191e-07 5.019510532408078534e-09
6.040268456375839534e+00 1.873645388434312330e-07 4.633913578729128393e-09
6.147651006711409849e+00 2.006117424814338739e-07 4.289236934027013152e-09
6.255033557046980164e+00 2.147852166365969983e-07 3.979982034432378127e-09
6.362416107382550479e+00 2.299513860915551456e-07 3.701532064298312750e-09
6.469798657718120793e+00 2.461816877883276645e-07 3.449990231522711280e-09
6.577181208053691108e+00 2.635529135170942712e-07 3.222050896543545917e-09
6.684563758389261423e+00 2.821475594829112260e-07 3.014896354359347786e-09
6.791946308724831738e+00 3.020541774377647254e-07 2.826113731141446529e-09
6.899328859060402053e+00 3.233677201816711014e-07 2.653627725586106438e-09
7.006711409395973256e+00 3.461898718806657274e-07 2.495645892258237248e-09
7.114093959731543571e+00 3.706293507256207819e-07 2.350613902122037578e-09
7.221476510067113885e+00 3.968021678553484075e-07 2.217178779807804929e-09
7.328859060402685088e+00 4.248318220706312898e-07 2.094158550125315885e-09
7.436241610738255403e+00 4.548494045451811447e-07 1.980517059742566334e-09
7.543624161073825718e+00 4.869935813665797281e-07 1.875342997762330842e-09
7.651006711409396033e+00 5.214104141967323765e-07 1.777832339165911119e-09
7.758389261744966348e+00 5.582529705370454508e-07 1.687273591319701292e-09
7.865771812080536662e+00 5.976806649828876772e-07 1.603035346191821393e-09
7.973154362416106977e+00 6.398582615127841163e-07 1.524555737349372108e-09
8.080536912751679068e+00 6.849544544853466621e-07 1.451333477084033229e-09
8.187919463087247607e+00 7.331399330364570731e-07 1.382920209628537922e-09
8.295302013422819698e+00 7.845848207206706296e-07 1.318913964810549305e-09
8.402684563758388236e+00 8.394553706964731194e-07 1.258953535280997607e-09
8.510067114093960328e+00 8.979097882581271994e-07 1.202713631686166025e-09
8.617449664429528866e+00 9.600930495303466104e-07 1.149900695404949395e-09
8.724832214765100957e+00 1.026130590991020515e-06 1.100249268972324719e-09
8.832214765100671272e+00 1.096120763453099747e-06 1.053518841017926911e-09
