#Energy 	 NLD
1.046	80.7406
1.06291	84.0161
1.07982	87.4246
1.09672	90.9713
1.11363	94.662
1.13053	98.5024
1.14744	102.499
1.16435	106.657
1.18125	110.984
1.19816	115.487
1.21506	120.172
1.23197	125.048
1.24888	130.121
1.26578	135.4
1.28269	140.894
1.29959	146.61
1.3165	152.559
1.33341	158.748
1.35031	165.189
1.36722	171.891
1.38413	178.865
1.40103	186.122
1.41794	193.674
1.43484	201.532
1.45175	209.709
1.46866	218.217
1.48556	227.071
1.50247	236.284
1.51937	245.871
1.53628	255.847
1.55319	266.228
1.57009	277.03
1.587	288.271
1.60391	299.967
1.62081	312.138
1.63772	324.803
1.65462	337.982
1.67153	351.695
1.68844	365.965
1.70534	380.814
1.72225	396.266
1.73915	412.345
1.75606	429.076
1.77297	446.485
1.78987	464.602
1.80678	483.453
1.82368	503.07
1.84059	523.482
1.8575	544.723
1.8744	566.825
1.89131	589.825
1.90822	613.757
1.92512	638.661
1.94203	664.576
1.95893	691.542
1.97584	719.602
1.99275	748.801
2.00965	779.184
2.02656	810.801
2.04346	843.7
2.06037	877.934
2.07728	913.558
2.09418	950.627
2.11109	989.2
2.128	1029.34
2.1449	1071.11
2.16181	1114.57
2.17871	1159.79
2.19562	1206.85
2.21253	1255.83
2.22943	1306.78
2.24634	1359.81
2.26324	1414.99
2.28015	1472.4
2.29706	1532.15
2.31396	1594.32
2.33087	1659.01
2.34777	1726.33
2.36468	1796.38
2.38159	1869.27
2.39849	1945.12
2.4154	2024.05
2.43231	2106.18
2.44921	2191.64
2.46612	2280.58
2.48302	2373.12
2.49993	2469.41
2.51684	2569.61
2.53374	2673.88
2.55065	2782.38
2.56755	2895.29
2.58446	3012.77
2.60137	3135.02
2.61827	3262.23
2.63518	3394.61
2.65208	3532.36
2.66899	3675.69
2.6859	3824.84
2.7028	3980.05
2.71971	4141.55
2.73662	4309.61
2.75352	4484.48
2.77043	4666.45
2.78733	4855.81
2.80424	5052.85
2.82115	5257.88
2.83805	5471.24
2.85496	5693.25
2.87186	5924.28
2.88877	6164.67
2.90568	6414.82
2.92258	6675.13
2.93949	6945.99
2.9564	7227.85
2.9733	7521.14
2.99021	7826.34
3.00711	8143.92
3.02402	8474.39
3.04093	8818.27
3.05783	9176.1
3.07474	9548.45
3.09164	9935.91
3.10855	10339.1
3.12546	10758.6
3.14236	11195.2
3.15927	11649.5
3.17617	12122.2
3.19308	12614.1
3.20999	13126
3.22689	13658.6
3.2438	14212.9
3.26071	14789.6
3.27761	15389.8
3.29452	16014.3
3.31142	16664.1
3.32833	17340.3
3.34524	18043.9
3.36214	18776.1
3.37905	19538.1
3.39595	20330.9
3.41286	21155.9
3.42977	22014.4
3.44667	22907.7
3.46358	23837.3
3.48049	24804.6
3.49739	25811.1
3.5143	26858.5
3.5312	27948.4
3.54811	29082.5
3.56502	30262.6
3.58192	31490.7
3.59883	32768.5
3.61573	34098.2
3.63264	35481.9
3.64955	36921.7
3.66645	38420
3.68336	39979
3.70026	41601.3
3.71717	43289.5
3.73408	45046.1
3.75098	46874.1
3.76789	48776.2
3.7848	50755.5
3.8017	52815.1
3.81861	54958.3
3.83551	57188.4
3.85242	59509.1
3.86933	61923.9
3.88623	64436.8
3.90314	67051.5
3.92004	69772.4
3.93695	72603.8
3.95386	75550
3.97076	78615.7
3.98767	81805.9
4.00457	85125.5
4.02148	88579.9
4.03839	92174.4
4.05529	95914.7
4.0722	99806.9
4.08911	103857
4.10601	108071
4.12292	112457
4.13982	117020
4.15673	121769
4.17364	126710
4.19054	131852
4.20745	137203
4.22435	142770
4.24126	148564
4.25817	154592
4.27507	160866
4.29198	167393
4.30889	174186
4.32579	181255
4.3427	188610
4.3596	196263
4.37651	204228
4.39342	212515
4.41032	221139
4.42723	230113
4.44413	239450
4.46104	249167
4.47795	259278
4.49485	269800
4.51176	280748
4.52866	292141
4.54557	303996
4.56248	316332
4.57938	329168
4.59629	342526
4.6132	356425
4.6301	370889
4.64701	385939
4.66391	401601
4.68082	417897
4.69773	434856
4.71463	452502
4.73154	470864
4.74844	489972
4.76535	509855
4.78226	530544
4.79916	552074
4.81607	574477
4.83298	597789
4.84988	622047
4.86679	647289
4.88369	673556
4.9006	700889
4.91751	729330
4.93441	758926
4.95132	789723
4.96822	821770
4.98513	855117
5.00204	889818
5.01894	925926
5.03585	963500
5.05275	1.0026e+06
5.06966	1.04328e+06
5.08657	1.08562e+06
5.10347	1.12967e+06
5.12038	1.17552e+06
5.13729	1.22322e+06
5.15419	1.27286e+06
5.1711	1.32451e+06
5.188	1.37826e+06
5.20491	1.43419e+06
5.22182	1.49239e+06
5.23872	1.55295e+06
5.25563	1.61596e+06
5.27253	1.68154e+06
5.28944	1.74978e+06
5.30635	1.82078e+06
5.32325	1.89467e+06
5.34016	1.97155e+06
5.35706	2.05156e+06
5.37397	2.13481e+06
5.39088	2.22144e+06
5.40778	2.31159e+06
5.42469	2.40539e+06
5.4416	2.503e+06
5.4585	2.60457e+06
5.47541	2.71027e+06
5.49231	2.82025e+06
5.50922	2.93469e+06
5.52613	3.05378e+06
5.54303	3.1777e+06
5.55994	3.30666e+06
5.57684	3.44084e+06
5.59375	3.58047e+06
5.61066	3.72576e+06
5.62756	3.87695e+06
5.64447	4.03428e+06
5.66138	4.19799e+06
5.67828	4.36834e+06
5.69519	4.54561e+06
5.71209	4.73007e+06
5.729	4.92202e+06
5.74591	5.12175e+06
5.76281	5.32959e+06
5.77972	5.54587e+06
5.79662	5.77092e+06
5.81353	6.0051e+06
5.83044	6.24879e+06
5.84734	6.50236e+06
5.86425	6.76623e+06
5.88115	7.0408e+06
5.89806	7.32652e+06
5.91497	7.62383e+06
5.93187	7.9332e+06
5.94878	8.25513e+06
5.96569	8.59012e+06
5.98259	8.93871e+06
5.9995	9.30144e+06
6.0164	9.67889e+06
6.03331	1.00717e+07
6.05022	1.04804e+07
6.06712	1.09057e+07
6.08403	1.13482e+07
6.10093	1.18087e+07
6.11784	1.22879e+07
6.13475	1.27866e+07
6.15165	1.33054e+07
6.16856	1.38454e+07
6.18547	1.44072e+07
6.20237	1.49919e+07
6.21928	1.56002e+07
6.23618	1.62333e+07
6.25309	1.6892e+07
6.27	1.75775e+07
6.2869	1.82908e+07
6.30381	1.90331e+07
6.32071	1.98054e+07
6.33762	2.06091e+07
6.35453	2.14454e+07
6.37143	2.23157e+07
6.38834	2.32213e+07
6.40524	2.41636e+07
6.42215	2.51441e+07
6.43906	2.61645e+07
6.45596	2.72263e+07
6.47287	2.83311e+07
6.48978	2.94808e+07
6.50668	3.06771e+07
6.52359	3.1922e+07
6.54049	3.32174e+07
6.5574	3.45653e+07
6.57431	3.5968e+07
6.59121	3.74276e+07
6.60812	3.89464e+07
6.62502	4.05268e+07
6.64193	4.21714e+07
6.65884	4.38827e+07
6.67574	4.56635e+07
6.69265	4.75165e+07
6.70955	4.94447e+07
6.72646	5.14512e+07
6.74337	5.35391e+07
6.76027	5.57117e+07
6.77718	5.79725e+07
6.79409	6.0325e+07
6.81099	6.2773e+07
6.8279	6.53204e+07
6.8448	6.79711e+07
6.86171	7.07293e+07
6.87862	7.35995e+07
6.89552	7.65862e+07
6.91243	7.96941e+07
6.92933	8.29281e+07
6.94624	8.62933e+07
6.96315	8.97951e+07
6.98005	9.3439e+07
6.99696	9.72307e+07
7.01387	1.01176e+08
7.03077	1.05282e+08
7.04768	1.09554e+08
7.06458	1.14e+08
7.08149	1.18626e+08
7.0984	1.2344e+08
7.1153	1.28449e+08
7.13221	1.33662e+08
7.14911	1.39086e+08
7.16602	1.4473e+08
7.18293	1.50603e+08
7.19983	1.56715e+08
7.21674	1.63074e+08
7.23364	1.69692e+08
7.25055	1.76578e+08
7.26746	1.83743e+08
7.28436	1.912e+08
7.30127	1.98958e+08
7.31818	2.07032e+08
7.33508	2.15434e+08
7.35199	2.24176e+08
7.36889	2.33273e+08
7.3858	2.42739e+08
7.40271	2.5259e+08
7.41961	2.6284e+08
7.43652	2.73506e+08
7.45342	2.84605e+08
7.47033	2.96154e+08
7.48724	3.08172e+08
7.50414	3.20678e+08
7.52105	3.33691e+08
7.53796	3.47232e+08
7.55486	3.61323e+08
7.57177	3.75985e+08
7.58867	3.91243e+08
7.60558	4.07119e+08
7.62249	4.2364e+08
7.63939	4.40831e+08
7.6563	4.5872e+08
7.6732	4.77335e+08
7.69011	4.96706e+08
7.70702	5.16862e+08
7.72392	5.37836e+08
7.74083	5.59662e+08
7.75773	5.82373e+08
7.77464	6.06006e+08
7.79155	6.30597e+08
