# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 5.327318841185423537e+01
1.137500000000000178e+00 7.835776804465774603e+01
1.237500000000000044e+00 1.144675190756676528e+02
1.337500000000000133e+00 1.597142648277096271e+02
1.437500000000000222e+00 2.211129572391813838e+02
1.537500000000000311e+00 3.027083378188054894e+02
1.637500000000000400e+00 4.005792938889272250e+02
1.737500000000000044e+00 4.998428172118524344e+02
1.837500000000000133e+00 6.080359176585881187e+02
1.937500000000000222e+00 7.295192573139046317e+02
2.037500000000000533e+00 9.228243565004679567e+02
2.137500000000000178e+00 1.268346521797066998e+03
2.237499999999999822e+00 1.743996804437788796e+03
2.337500000000000355e+00 2.314788772840290676e+03
2.437500000000000000e+00 2.944060104236384632e+03
2.537500000000000533e+00 3.627258095706930817e+03
2.637500000000000178e+00 4.409283152703097585e+03
2.737499999999999822e+00 5.308149239688200396e+03
2.837500000000000355e+00 6.514202741344232891e+03
2.937500000000000000e+00 8.028111799350808724e+03
3.037500000000000533e+00 9.962974772576688338e+03
3.137500000000000178e+00 1.246643753259113691e+04
3.237499999999999822e+00 1.553623586907515710e+04
3.337500000000000355e+00 1.958336209600301299e+04
3.437500000000000000e+00 2.451920124105374634e+04
3.537499999999999645e+00 3.064263409825389317e+04
3.637500000000000178e+00 3.844065986714696919e+04
3.737499999999999822e+00 4.795156179441131098e+04
3.837500000000000355e+00 6.029119328195761045e+04
3.937500000000000000e+00 7.575887747902440606e+04
4.037500000000000533e+00 9.555722718864047783e+04
4.137500000000000178e+00 1.212702849187772954e+05
4.237499999999999822e+00 1.532589814100128424e+05
4.337500000000000355e+00 1.941841295627744985e+05
4.437500000000000000e+00 2.448345251312541077e+05
4.537500000000000533e+00 3.084726664918620954e+05
4.637500000000000178e+00 3.903327812667483231e+05
4.737499999999999822e+00 4.943241736850352609e+05
4.837500000000000355e+00 6.335557500129692489e+05
4.937500000000000000e+00 8.161105260923985625e+05
5.037500000000000533e+00 1.052709870287984610e+06
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.292811644281427143e+06
5.195026315789474047e+00 1.582700141688785050e+06
5.273789473684210805e+00 1.931700888454305707e+06
5.352552631578947562e+00 2.350705219609696418e+06
5.431315789473684319e+00 2.852403765174859669e+06
5.510078947368421076e+00 3.451550501583442092e+06
5.588842105263157833e+00 4.165260830547139980e+06
5.667605263157894591e+00 5.013347480127730407e+06
5.746368421052631348e+00 6.018698382117393427e+06
5.825131578947368993e+00 7.207701067314497195e+06
5.903894736842104862e+00 8.610718537684194744e+06
5.982657894736842508e+00 1.026262202355264127e+07
6.061421052631578377e+00 1.220338651682734303e+07
6.140184210526316022e+00 1.447875548978338391e+07
6.218947368421052779e+00 1.714098176530718431e+07
6.297710526315789537e+00 2.024965210085456073e+07
6.376473684210526294e+00 2.387260368704681844e+07
6.455236842105263051e+00 2.808694144520383701e+07
6.533999999999999808e+00 3.298016573868373409e+07
