# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 5.989107252708757301e+01
1.137500000000000178e+00 8.882177509322474407e+01
1.237500000000000044e+00 1.308061236528131417e+02
1.337500000000000133e+00 1.818783906283777583e+02
1.437500000000000222e+00 2.468224451089053844e+02
1.537500000000000311e+00 3.281512964412593192e+02
1.637500000000000400e+00 4.236096553406799217e+02
1.737500000000000044e+00 5.225114589922075083e+02
1.837500000000000133e+00 6.349774869190309801e+02
1.937500000000000222e+00 7.612281430730211014e+02
2.037500000000000533e+00 9.542442496356618449e+02
2.137500000000000178e+00 1.289328337996126038e+03
2.237499999999999822e+00 1.741770434971190070e+03
2.337500000000000355e+00 2.285923029329054316e+03
2.437500000000000000e+00 2.896041118427334368e+03
2.537500000000000533e+00 3.565906387902886308e+03
2.637500000000000178e+00 4.329322547373349153e+03
2.737499999999999822e+00 5.199178560998090688e+03
2.837500000000000355e+00 6.365337930762305405e+03
2.937500000000000000e+00 7.829471717039438772e+03
3.037500000000000533e+00 9.693525903479576300e+03
3.137500000000000178e+00 1.208808115040782832e+04
3.237499999999999822e+00 1.500783285558112402e+04
3.337500000000000355e+00 1.887188735739226104e+04
3.437500000000000000e+00 2.364964641503365056e+04
3.537499999999999645e+00 2.970600861227087080e+04
3.637500000000000178e+00 3.757489952361035830e+04
3.737499999999999822e+00 4.729381213804375147e+04
3.837500000000000355e+00 5.987316909101338388e+04
3.937500000000000000e+00 7.546016736748574476e+04
4.037500000000000533e+00 9.511649308382971503e+04
4.137500000000000178e+00 1.203834855652257247e+05
4.237499999999999822e+00 1.516960383664371329e+05
4.337500000000000355e+00 1.919084721003631421e+05
4.437500000000000000e+00 2.423387309685151558e+05
4.537500000000000533e+00 3.071342727825585171e+05
4.637500000000000178e+00 3.920570752564043505e+05
4.737499999999999822e+00 4.994440079630195978e+05
4.837500000000000355e+00 6.379061895709979581e+05
4.937500000000000000e+00 8.115031270302491030e+05
5.037500000000000533e+00 1.034658654537848895e+06
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.271954831354283728e+06
5.195026315789474047e+00 1.558749275905966526e+06
5.273789473684210805e+00 1.904373166764928261e+06
5.352552631578947562e+00 2.319735420931550208e+06
5.431315789473684319e+00 2.817559771160318982e+06
5.510078947368421076e+00 3.412653144977536984e+06
5.588842105263157833e+00 4.122208925001314376e+06
5.667605263157894591e+00 4.966149018180980347e+06
5.746368421052631348e+00 5.967509037626378238e+06
5.825131578947368993e+00 7.152871306604424492e+06
5.903894736842104862e+00 8.552850831936100498e+06
5.982657894736842508e+00 1.020263986542053334e+07
6.061421052631578377e+00 1.214261717912155390e+07
6.140184210526316022e+00 1.441902872555869818e+07
6.218947368421052779e+00 1.708474693932263926e+07
6.297710526315789537e+00 2.020011656477272138e+07
6.376473684210526294e+00 2.383389556775183976e+07
6.455236842105263051e+00 2.806430041028270870e+07
6.533999999999999808e+00 3.298016573868373409e+07
